"STUDY_ID","REVIEWERS","INCLUDE","title","abstract","reviewer"
31,NA,"not vetted","Reduced crop sowing density improves performance of rare arable weed species more effectively than reduced fertilisation","Characteristic arable weed species of dryland cereal fields have undergone significant declines, due to agricultural intensification, to the point that some of them are considered rare. Crop edges host higher abundances of arable weed species, therefore they may act as a refuge for the conservation of these rare arable species. Using mesocosms, we experimentally tested how conditions at field edges (i.e. lower sowing densities and less intensive fertiliser applications) operate on the growth (biomass and height) and reproduction (reproductive biomass and flower onset) of six rare arable species. We found the rare arable species achieved lower biomass when growing with wheat compared with growing alone, and biomass of most of species was lower under high wheat sowing density than under low sowing density. In contrast, fertiliser application affected only two of the six arable species tested, especially when they were growing alone. Although the time to flowering was not affected by the conditions tested, reproductive biomass showed the same trends as overall biomass. These results indicate that conservation of rare arable species must primarily consider reductions in crop competition to increase their biomass and reproductive ability.","Marta"
32,NA,"not vetted","Management of pigweed (Amaranthus spp.) in grain sorghum with integrated strategies","Pigweed is difficult to manage in grain sorghum because of widespread herbicide resistance, a limited number of registered effective herbicides, and the synchronous emergence of pigweed with grain sorghum in Kansas. The combination of cultural and mechanical control tactics with an herbicide program are commonly recognized as best management strategies; however, limited information is available to adapt these strategies to dryland systems. Our objective for this research was to assess the influence of four components, including a winter wheat cover crop (CC), row-crop cultivation, three row widths, with and without a herbicide program, on pigweed control in a dryland system. Field trials were implemented during 2017 and 2018 at three locations for a total of 6 site-years. The herbicide program component resulted in excellent control (>97%) in all treatments at 3 and 8 weeks after planting (WAP). CC provided approximately 50% reductions in pigweed density and biomass for both timings in half of the site-years; however, mixed results were observed in the remaining site-years, ranging from no attributable difference to a 170% increase in weed density at 8 WAP in 1 site-year. Treatments including row-crop cultivation reduced pigweed biomass and density in most site-years 3 and 8 WAP. An herbicide program is required to achieve pigweed control and should be integrated with row-crop cultivation or narrow row widths to reduce the risk of herbicide resistance. Additional research is required to optimize the use of CC as an integrated pigweed management strategy in dryland grain sorghum.","Marta"
33,NA,"not vetted","Soil and crop management systems that ameliorate damage caused by decades of dryland agroecosystem mismanagement","Sustainable crop production in the Great Plains of North America has been challenging since early settlement times, and mismanagement has severely damaged our dryland agroecosystems. The unintentional damage stemmed from using practices unsuited to dryer climates. In fact, the management practices imported from more humid agricultural areas during the settlement period were considered the best ways to farm. The Dust Bowl era was the disastrous result of creating bare soil surfaces, with aggregates pulverized by excessive tillage on millions of hectares of land. It became obvious to pioneer scientists that retaining cover on the soil surface was critical to sustainability and their early efforts resulted in a widely adopted practice known as stubble mulch. Stubble mulch practices markedly decreased the rate of damage to dryland ecosystems. Advent of herbicidal weed control led to reduced and no-till practices that not only increased soil cover, but also significantly enhanced soil water conservation. This paper focuses on how and why the coupling of conservation tillage and cropping intensification is ameliorating the damage that accrued over decades of agroecosystem mismanagement. The objectives of this paper are to (a) remind us of fragile nature of the Great Plains ecosystem, (b) review how and why ecosystems were degraded, and (c) identify principles and associated practices for amelioration.","Marta"
34,NA,"not vetted","Agronomic and economic performance of organic forage, quinoa, and grain crop rotations in the Palouse region of the Pacific Northwest, USA","Volatile crop prices and a desire for sustainability have farmers considering alternative practices to increase revenue diversity and protect soil health. Organic management is rapidly expanding as an alternative to conventional agriculture, and quinoa (Chenopodium quinoa Willd.) is a potential new crop for organic systems in the Pacific Northwest. Here we tested the agronomic and economic effects of diversifying dryland crop rotations with organic quinoa in the Palouse region of the Pacific Northwest. Eight 3-year grain cropping sequences were compared based on metrics of crop productivity, crop quality, and economic performance. While the crop sequences affected these metrics, crop yields and quality were mediated primarily by weather across growing seasons. Cumulative yields were higher for crop sequences that started with chickpea compared to barley. Organic quinoa yields were lower than the yield potential for the region, but some 3-year sequences with quinoa produced similar net returns to some sequences with wheat. Mean returns over variable costs were $324 ha(-1) yr(-1) for the 3-year sequence treatments; each treatment averaged positive net returns to variable costs despite some individual years having negative returns. The highest net returns to variable costs were in sequences that grew wheat and those that started with chickpea. Returns over total costs for the 3-year sequence treatments averaged -$33 ha(-1) yr(-1). The organic cropping systems (the total 8-year crop rotations including 5 years of organic alfalfa) produced higher returns over variable and total costs ($615 ha(-1) yr(-1) and $168 ha(-1) yr(-1), respectively) than a typical conventional rotation with county average yields during the same 8-year period ($477 ha(-1) yr(-1) and $82 ha(-1) yr(-1)). Our results show that premiums for organic alfalfa and grains make these organic cropping systems economically viable for dryland production in the Pacific Northwest. Advances in organic weed control and regionally adapted quinoa varieties would further reduce the risk for farmers attempting this cropping system diversification.","Marta"
35,NA,"not vetted","Effect of natural factors and management practices on agricultural water use efficiency under drought: A meta-analysis of global drylands","Agriculture's need to feed the growing population is challenged by the decline in available water resources especially in the context of global climate change. Improving crop water use efficiency (WUE) will help to safeguard the environmental sustainability of food production in dryland areas. However, the impact of drought on crop WUE varies-a comprehensive and quantitative understanding of relevant factors is needed to support evidence-based management decisions. Here, we used a meta-analysis of global drylands (81 studies with 836 paired observations) to evaluate the response of various crop WUEs to drought based on various natural and human induced factors. Our results showed that responses of crop types' WUE varied under drought intensity, which probably a reference for crop selection in drylands. Cotton could be one of crop selection reference in hyper-arid or arid regions, and legume is not recommended for drylands without irrigation. Cereal crop are suitable for growing in semi-arid or dry sub-humid areas. Moreover, soil improvement and fertilizer management are the effective methods to alleviate drought stress, in addition to irrigation. Soil with medium-texture, 1.3-1.4 g cm(-3) bulk density and 15-20 g kg(-1) organic matter is beneficial for improving WUE under drought. Fertilizer should be carefully considered and not exceed 200 kg ha(-1) for wheat in drylands. Water deficit can improve crop WUE, but should not exceed 40% of the full irrigation amount. Field management practices, such as mulching and weed control, can help alleviate drought by regulating WUE to some extent. This study evaluated the responses of various crop WUEs to drought and highlighted the factors contributing to and/or decreasing crop WUE from natural factor and management practices, which provides a basis for agricultural drought mitigation strategies under future climate change in dryland areas.","Marta"
36,NA,"not vetted","Dryland Corn Production and Water Use Affected by Tillage and Crop Management Intensity","Management strategies to enhance dryland corn (Zea mays L.) production and soil water use are lacking. We evaluated the effect of tillage and crop management intensity on the growth, yield, and water use of dryland corn from 2005 to 2010 in the northern Great Plains. Tillage systems (no-tillage, NT, and conventional tillage, CT) as main-plot and crop management to corn (traditional intensity: conventional seeding rates and reduced wheat, Triticum aestivum L., stubble height; and improved intensity: increased seeding rate for 3 out of 6 yr and wheat stubble height) as split-plot treatments were arranged in a randomized complete block design with three replications. Corn plant stand was greater for CT than NT in 3 out of 6 yr and greater for the improved than the traditional intensity in 3 out of 3 yr. Seed number and grain yield were greater for NT than CT in 4 out of 6 yr. Biomass was greater for NT than CT in 1 out of 6 yr and greater for NT than CT in the traditional intensity. Corn plant height, seed weight, and harvest index as well as preplant and postharvest soil water, water use, and water-use efficiency were not influenced by treatments, but varied with years. Corn yield increased for NT compared with CT during years with below-average precipitation due to increased seed number and by reducing seeding rate and wheat stubble height. No-tillage with reduced seeding rate and wheat stubble height can enhance dryland corn production without affecting soil water.","Marta"
37,NA,"not vetted","Utilisation of cover crops: implications for conservation agriculture systems in a mediterranean climate region of South Africa","Purpose Cover crops can provide multiple agroecosystem services to crops produced in conservation agriculture systems. South African grain producers in the Mediterranean climate region are reluctant to integrate cover crops in rainfed systems since cover crops replace cash crops leading to financial losses. Using cover crops as fodder can help cover input costs, while providing a range of advantageous services to the cropping system. The aim of this study was to investigate how cover crop mixtures and the utilisation of cover crops affect soil quality, the quality and quantity of the mulch as well as wheat (Triticum aestivum L.) produced in the subsequent year. Methods A two-year study was conducted in the Western Cape Province of South Africa. In Year 1, diverse legume and cereal-based cover crop mixtures were partially grazed, cut and material removed for haymaking, or left unutilised as a mulch. In Year 2, spring wheat (Triticum aestivum L.) was planted to investigate the effects of cover crop mixtures and utilisation method on subsequent spring wheat yield. Results Cover crops used as hay or for grazing did not affect (P < 0.05) grain yield of wheat that followed in rotation. Legume-based cover crop mixtures increased (P < 0.05) wheat grain protein content regardless of utilisation method. Soil quality and nitrogen content improved (P < 0.05) when cover crops were grazed. Conclusions Cover cropping can be used by South African grain producers as an important agronomic tactic to improve system productivity and support sustainable intensification of rainfed cropping systems.","Marta"
38,NA,"not vetted","Compost Input Effect on Dryland Wheat and Forage Yields and Soil Quality","Organic agricultural systems rely on organic amendments to achieve crop fertility requirements, and weed control must be achieved without synthetic herbicides. Our objective was to determine the crop yield and soil quality as affected by a transition from grass to dryland organic agriculture in the Central Great Plains of North America. This study evaluated three beef feedlot compost (BFC) treatments in 2010-2015 following biennial application rates: 0 (control), 22.9, and 108.7 t ha(-1) on two dryland organic cropping systems: a wheat (Triticum aestivum)-fallow (WF) rotation harvested for grain and a triticale (Triticosecale)/pea (Pisum sativum)fallow (T/P-F) rotation harvested for forage. The triticale + pea biomass responded positively to the 108.7-t ha(-1) BFC treatment, but not the 22.9-t ha(-1) BFC treatment. The wheat biomass was not affected by BFC addition, but biomass N content increased. Beef feedlot compost input did not increase wheat grain yields, but had a positive effect on wheat grain Zn content. Soil total C and N contents increased with the rate of 108.7 t ha(-1) BFC after three applications, but not with 22.9 t ha(-1) BFC. Soil enzyme activities associated with N and C cycling responded positively to the 108.7-t ha(-1) BFC treatment. Saturated salts were high in the soil receiving 108.7 t ha(-1) of BFC, but did not affect crop yields. These results showed that BFC was effective in enhancing forage yields, wheat grain quality, and soil C and N, as well as specific microbial enzymes important for nutrient cycling. However, the large rates of BFC necessary to elicit these positive responses did not increase grain yields, and resulted in an excessive buildup of soil P.","Marta"
39,NA,"not vetted","N supply and pre-cropping benefits to triticale from three legumes in rainfed and irrigated Mediterranean crop rotations","Including pulses in crop rotations can improve the productivity of subsequent crops due to increased soil available N and other agronomic benefits. However, the magnitude of this effect can vary with environmental conditions, agricultural management practices and legume genotypes. We aimed to measure the N supply and pre-crop benefits from pulses introduced in different crop rotations with cereals in a Mediterranean climate. Two three-year field trials were set with non N-fertilized fodder triticale (x Triticosecale 'Alter') as a monoculture, and in rotation with irrigated cowpea (Vigna unguiculata' Fradel') as replacement of summer fallow, or rainfed faba bean (Vicia faba 'Favel') or pea (Pisan sativum 'Grisel')as 'break' crops. Two legume residue managements were tested: incorporation into the soil and removal from the system. Triticale monocultures with three levels of synthetic N fertilization were included for estimation of N-fertilizer equivalence from rainfed pulse pre-crops. Yields and N contents were measured for each plant fraction and crop, including weeds. Biologically fixed N was estimated by an N-difference method and residual fixed N (RFN) was calculated. Cowpea fixed between 62-127 kg N ha(-1) and provided up to 61 kg N ha(-1) to soil as RFN. Faba bean and pea fixed between 0-72 kg N ha(-1) but RFN was negative overall, as low as - 52 kg N ha(-1). However, the apparent N benefit of these `break' crops was largely positive (up to 70 kg N ha(-1)) in comparison with the reference crop (triticale). Agricultural intensification with irrigated cowpea did not affect the productivity of subsequent cereal, likely due to a combined effect of low residue mineralization potential of its residues, and to increased nitrate leaching and weed infestation in cereal. However, the overall productivity of the agroecosystem was increased with minimal inputs. Rainfed faba bean and pea improved cereal productivity similarly, but only when grown in wet conditions with no weed control (30-59% yield increase, equivalent to 72-153 kg fertilizer-N ha(-1)). Removal of legume residue did not affect the productivity of subsequent cereal. This study identifies cowpea as a suitable crop for sustainable intensification in Mediterranean conditions.","Marta"
40,NA,"not vetted","Strategic Tillage Effects on Crop Yields, Soil Properties, and Weeds in Dryland No-Tillage Systems","Long-term no-till (NT) systems in the semiarid central Great Plains of the United States require flexible management strategies to minimize the impacts of herbicide resistant (HR) kochia (Kochia scoparia L.) and tumble windmill grass (Chloris verticillata Nutt.) as well as nutrient stratification on soil and crop productivity. This study examined strategic tillage (ST) to control HR weeds and improve crop yields in an otherwise long-term NT cropping system. Treatments were three crop rotations: (1) continuous winter wheat (Triticum aestivum L.) (WW); (2) wheat-fallow (WF); and (3) wheat-grain sorghum (Sorghum bicolor L.)-fallow (WSF); as main plots. Subplots were reduced tillage (RT), continuous NT, and ST of NT. Results showed ST and RT treatments provided significant control of HR weeds. Soil water content at wheat planting was significantly less with RT compared to NT or ST. Strategic tillage did not affect wheat or grain sorghum yields, but RT decreased sorghum yields by 15% compared to NT. Increasing cropping intensity reduced wheat yields. Strategic tillage reduced bulk density and had no effect on aggregate size distribution or mean weight diameter (MWD) compared to NT though RT reduced the proportion of large macroaggregates and MWD. Similarly, ST compared to NT had no effect on soil organic carbon (SOC) or nitrogen (N) concentrations. Soil phosphorus (P) was not different among the tillage treatments though RT increased potassium (K) concentration near the soil surface. The SOC, MWD, and micronutrient availability were greatest with WW though it had significantly lower pH and K concentration. Our results suggest ST could provide a mitigation option for HR weeds in NT systems with little impact on crop yields and soil properties.","Marta"
41,NA,"not vetted","Weed seedbank size and composition in a long-term tillage and crop sequence experiment","Knowledge of the effects of agricultural practices on weed seedbank dynamics is essential for predicting future problems in weed management. This article reports data relative to weed seedbank structure after 18years of continuous application of conventional tillage (CT, based on mouldboard ploughing) or no tillage (NT) within three crop sequences (continuous wheat, W-W; wheat-faba bean, W-F; and wheat-berseem clover, W-B). Tillage system did not affect the size of the total weed seedbank, but altered both its composition and the distribution of seeds within the soil profile. In particular, the adoption of CT favoured some species (mainly Polygonum aviculare), whereas the continuous use of NT favoured other species (Papaver rhoeas, Phalaris spp. and Lactuca serriola). The effects of tillage system on weed seedbank size and composition were less pronounced in the W-B cropping system than in either the W-W or W-F. Compared with W-F and W-B, W-W resulted in an increase in total weed seedbank density (about 16000 seedlings m(-2) in W-W, compared with 10000 and 6000 seedlings m(-2) in W-F and W-B, respectively) and a reduction in weed diversity, with a strong increase in some species (e.g. Polygonum aviculare). Our results for the effect of NT application on weed seedbank size and composition suggest that farmers should only apply such a conservative technique within an appropriate crop sequence.","Marta"
42,NA,"not vetted","Intensified dryland crop rotations support greater grain production with fewer inputs","Rising use and costs of agri-chemical inputs to support agricultural production have placed an economic burden on farmers while contributing to environmental and human health issues. Ecologically based nutrient and weed management the use of ecological processes to replace external chemical inputs may represent a strategy to support crop growth while achieving positive environmental and economic outcomes. In dryland agroecosys-tems around the world, farmers are increasingly transitioning toward no-till and intensified cropping systems, in which unvegetated fallow periods are replaced with crops. This study seeks to determine if cropping system intensification represents an ecologically based strategy for managing nutrients and weeds relative to traditional crop-fallow systems, and to understand the implications for crop production and profitability. We quantified total and potentially mineralizable nitrogen (N), arbuscular mycorrhizal fungal (AMF) colonization of wheat roots and implications for plant phosphorus (P) uptake, 6 years of crop yields, fertilizer and herbicide use, and net operating income across dryland, no-till cropping systems in the semi-arid High Plains, USA. Three levels of cropping system intensity were represented ranging from wheat-fallow (tmvegetated fallow every other year) to continuous cropping (no fallow years). After accounting for variability due to environment and site characteristics, total and potentially mineralizable N were 12% and 30% greater in continuous rotations relative to wheat fallow, respectively. Mid-intensity (fallow every 2 or 3 years) and continuous rotations had roughly 2 and 3 times more AMF colonization than wheat-fallow, respectively, and AMF colonization was positively correlated with wheat plant P concentration. Farmers practicing continuous cropping applied 22 and 34 kg ha(-1) less N fertilizer per crop compared to wheat-fallow and mid-intensity, respectively, despite similar and 60% greater annualized crop production than mid-intensity and wheat-fallow rotations, respectively. Additionally, farmers who practiced continuous cropping used less than half the total herbicide used by wheat-fallow farmers. Net operating incomes of continuous and mid-intensity rotations were an estimated 47 USD ha-(1) yr(-1) (80%) and 42 USD ha(-1) yr(-1) (70%) more than wheat-fallow, respectively. These results suggest that cropping system intensification, and especially continuous cropping, represents an opportunity to achieve more grain production while managing weeds and nutrients with fewer agri-chemical inputs, leading to greater profitability and improved environmental outcomes in no-till agroecosystems.","Marta"
43,NA,"not vetted","Trends in plant and soil microbial diversity associated with Mediterranean extensive cereal-fallow rotation agro-ecosystems","This study examines plant and soil microbial diversity in a cereal-fallow rotation scheme in the cereal steppes of Castro Verde, Southern Portugal, which have an important conservation value as they provide habitat for many steppic birds with unfavorable conservation status. For that we monitored plant and soil microbial diversity during 4 years including all stages of the rotation cycle.The structure and composition of plant and soil communities during wheat crop were different from those found in the fallow years, although the effect of wheat crop on soil bacteria was still noticeable in the 1st year of fallow. The main changes in the structure of microbial communities happened between the first and second year of fallow, probably due to changes in the quality and quantity of litter inputs. As expected, we observed an overall decrease in plant diversity in the wheat stage. Fallows had a positive effect on plant species diversity by allowing the maintenance of a seed bank and controlling the simplification of weed communities. However, the impact of fallow on microbial communities is more complex: bacterial diversity was higher during the wheat stage while fungal diversity was either higher or unchanged.These results suggest that the rotation stage is the main driver of the diversity and composition of soil microbial communities, probably through changes in the plant community that deserve further examination. Inter-annual fluctuations in rainfall had a stronger impact on plant communities than on microbial communities indicating that the later are likely adapted to the characteristic fluctuation of annual rainfall in areas under Mediterranean climate. (C) 2015 Elsevier B.V. All rights reserved.","Marta"
44,NA,"not vetted","Analysing spatial correlation of weeds and harvester ants in cereal fields using point processes","The interaction between the spatial distribution of weed richness and weed cover and the spatial location of harvester ant nets was investigated in cereal fields. The understanding of such interdependencies can be relevant to understand weed population dynamics in dryland cereal fields and may enhance management strategies for weed control. We used spatial statistical tools derived from point process theory. In particular, we compared the two spatial configurations by assuming two different point patterns. We did so by replacing the random weed fields by a related point pattern and comparing it with the point pattern of harvester ants. Our results suggest that areas with a high density of ant nests are, in this case study, in areas with low weed richness and that large nests have a greater impact than small nests. Considering that only one field was analysed, preserving and enhancing regular ant nest distributions, especially of large nests, might have an impact on depleting weeds and consequently enhancing weed control.","Marta"
45,NA,"not vetted","Downy brome (Bromus tectorum) management and herbicide resistance in dryland wheat production across northeastern Oregon","Downy brome (Bromus tectorum L.) is a difficult species to control in the dryland wheat (Triticum aestivum L.) production areas of northeastern Oregon. The selection of herbicide-resistant B. tectorum populations has further complicated B. tectorum management. A survey of wheat growers was conducted in 2021 and 2022 to understand B. tectorum management practices. The survey included four questions based on the growing seasons from 2017 to 2022 related to crop rotation, tillage versus no-tillage, irrigation versus dryland, and herbicide programs. To determine the extent of herbicide resistance, seeds were collected from 49 B. tectorum populations in wheat fields in northeastern Oregon and tested for resistance. Herbicides tested were clethodim, glyphosate, imazamox, mesosulfuron, metribuzin, propoxycarbazone, pyroxasulfone, pyroxsulam, quizalofop, and sulfosulfuron. Winter wheat-summer fallow rotation was the most predominant cropping system in the region. Most of the fields were in no-tillage systems, and none were irrigated. Pyroxasulfone applied preemergence and acetolactate synthase (ALS) inhibitors applied postemergence were the most often used herbicides for B. tectorum control in winter wheat. Glyphosate was the most frequently used herbicide for B. tectorum control in summer fallow. Resistance screenings confirmed that 46 of the 49 B. tectorum populations were resistant to ALS inhibitors with different cross-resistance patterns. Two populations were resistant to metribuzin and exhibited multiple resistance to ALS inhibitors. All populations were susceptible to clethodim, glyphosate, pyroxasulfone, and quizalofop. The widespread occurrence of ALS inhibitor-resistant B. tectorum populations limits effective postemergence herbicide options in winter wheat.","Marta"
46,NA,"not vetted","Effect of fall-planted cover crops on weed suppression, grain sorghum yield, and profitability in the semiarid Central Great Plains","Integrating cover crops (CCs) in dryland crop rotations could help in controlling herbicide-resistant weeds. Field experiments were conducted at Kansas State University Agricultural Research Center near Hays, KS, from 2020 to 2023 to determine the effect of fall-planted CCs on weed suppression in grain sorghum [Sorghum bicolor (L.) Moench], crop yield, and net returns in no-till dryland winter wheat (Triticum aestivum L.)-grain sorghum-fallow (W-S-F) rotation. The field site had a natural seedbank of glyphosate-resistant (GR) kochia [Bassia scoparia (L.) A. J. Scott] and Palmer amaranth (Amaranthus palmeri S. Watson). A CC mixture [winter triticale (xTriticosecale Wittm. ex A. Camus [Secale x Triticum])-winter peas (Pisum sativum L.)-canola (Brassica napus L.)-radish (Raphanus sativus L.)] was planted after wheat harvest and terminated at triticale heading stage before sorghum planting. Treatments included nontreated control, chemical fallow, CC terminated with glyphosate (GLY), and CC terminated with GLY+ acetochlor/atrazine (ACR/ATZ). Across 3 yr, CC terminated with GLY+ACR/ATZ reduced total weed density by 34% to 81% and total weed biomass by 45% to 73% compared with chemical fallow during the sorghum growing season. Average grain sorghum yield was 786 to 1,432 kg ha-1 and did not differ between chemical fallow and CC terminated with GLY+ACR/ATZ. However, net returns were lower with both CC treatments (-US$275 to US$66) in all 3 yr compared with chemical fallow (-US$111 to US$120). These results suggest that fallow replacement with fall-planted CCs in the W-S-F rotation can help suppress GR B. scoparia and A. palmeri in the subsequent grain sorghum. However, the cost of integrating CCs exceeded the benefits of improved weed control, and lower net returns were recorded in all 3 yr compared with chemical fallow.","Marta"
47,NA,"not vetted","Soil respiration during three cropping cycles of durum wheat under different tillage conditions in a Mediterranean environment","This study analysed respiration from soil cultivated with wheat under a Mediterranean climate and submitted to two tillage treatments: no tillage (NT) and reduced tillage (RT). Carbon dioxide (CO2) emissions were measured by static chambers in three growing seasons (2015-18) in the framework of a long-term experiment of different tillage systems established in 2002. Tillage management remained the same throughout the trial, while chemical weed control was carried out in response to the actual weed content. Environmental variables were monitored, including the soil total organic carbon (TOC) content, water-extractable organic carbon (WEOC), soil temperature and water content. Total CO2 emission, as mean of the studied seasons, did not significantly differ between NT and RT (2.35 and 2.24 t CO2-C ha(-1) for NT and RT, respectively), although differences were found at the growth cycle scale. Total annual CO2 emission from NT was stable, being the same along the three cycles, while total RT CO2 emission decreased from the first to the third cycle. The TOC content was almost stable, while WEOC showed large variability that could explain the variability of CO2 emissions for RT over short time scales and was probably because of weed control in the middle of the second growing cycle. CO2 emissions were driven by soil water content via the impact on water filled pore space, and soil temperature range, that is daily maximum minus minimum temperature. In conclusion, for this winter wheat NT did not improve the balance of soil CO(2 )emissions with respect to RT.","Marta"
48,NA,"not vetted","Biomass production, weed suppression, and soil water use of cover crops in dryland wheat production systems","Cover cropping in the fallow phase of winter wheat (Triticum aestivum L.)-fallow systems of the semiarid Pacific Northwest has been identified as an opportunity to build resilience and enhance farm profitability. Nine fall- and spring-sown cover crops (CCs) grown during the traditional fallow period were evaluated at sites in the low and intermediate precipitation zones of the region in a 2-year study (2021 and 2022). The fall-sown CCs included winter pea (Pisum sativum L.), winter lentil (Lens culinaris Medik.), and fall species mix; and the spring-sown CCs included common vetch, yellow mustard, lacy phacelia, tillage radish (Raphanus sativus L.), spring barley (Hordeum vulgare L.), and a spring species mix. CCs were evaluated for biomass production and impacts on soil water and weeds. CC growth was dependent on location, year, planting timing, and CC species. Fall-sown CCs generally produced more biomass than spring-sown CCs across site-years, with winter peas and the fall species mix being most productive. Following a year of greater than average precipitation, no negative effects of CCs on fall soil moisture were observed at the intermediate precipitation site, while fall-sown CCs reduced soil moisture at the low precipitation site. The suppressive effect of CCs on weeds ranged from null to moderate, depending on site, year, and CC seeding time. Fall-sown CCs more consistently suppressed weeds than spring-sown CCs. Additionally, fall-sown CCs were terminated in the spring before weeds set viable seeds, saving a herbicide application and reducing herbicide pressure without exacerbating future weed issues. Overall, select fall-sown CCs showed promise to enhance ecosystem services during the traditional fallow period.","Marta"
49,NA,"not vetted","An Assessment on Wheat and Barley Cultivation through Farmer Surveys under Rain-Fed Conditions in Sanliurfa","This study aimed to assess the characteristics of temperate cereals cultivation through surveys on randomly selected 50 farmers residing in neighboring villages under dryland conditions of Sanliurfa. Surveys were carried out in Akcahisar, Cakmak, Gelibolu, Comlekci, Akpinar, Golpinar, Akziyaret, Bahceli, Golgen, Kizlar, Kulafli, Sakca, Karatas and Asik villages located about 25 km away from city centre on north-east direction in 2002, 2015, 2017, 2018, 2019 and 2020 years. Villages were selected through purposive sampling method. Farmers in such villages were selected randomly. Each farmer was asked a 23- questions. The results revealed that crop rotation of wheat or barley in first year and the lentil in the following year tend to turn to be barley in first year and the lentil in second year. Farmers adopted newly released varieties with high yielding ability rapidly. Sowing time shifted from mid-November to mid-December. There was no constrains for tillage and sowing. Farmers were found to be sufficient for agricultural machinery. Seeding, fertilizer and weed management practices were adopted by farmers with the near ratios of recommended rates. Yellow rust (Puccinia striiformis), smut, (Ustilago spp.)powdery mildew (Eryciphe graminis) and bund (Tilletia spp.)diseases were given priority. Rodents and sunn pest (Eurigaster integricieps)were found to be most important pests. Harvest was performed by combine harvester totally. Average barley yield for all survey years (243.7 kg/da) higher than that of wheat was (225.35 kg/da). Average sale price for wheat for all survey years was 111.79 Kr/kg and that of barley was 96.81 Kr/kg. Climatological factors (26, 83%), high fertilizer input prices (21.57%) and low marketing prices (15.16%) were found to be major constrains for cereal cultivation. It was predicted that temperate cereal cultivation for incoming years will seriously be under risk due to huge fluctuations in annual rainfall and barley acreage will increase in future due to early maturing ability and the ability to escape from terminal drought.","Marta"
50,NA,"not vetted","Australia",NA,"Marta"
51,NA,"not vetted","Effect of Tillage Implements and Weed Management Techniques On Nutritive Values of Wheat Grains","Field experiments were conducted on wheat during 2017-2018 and 2018-2019 under rainfed conditions. The statistical significance between treatment means was determined at 5% significance level. Data were recorded on weed density, protein, fat and ash contents of wheat grains. Weed density in shallow tillage was highest (20.67 m(-2)) while it was lowest (14.23 m(-2)) in deep tillage. In weed control factor, weed density was highest in weedy check (33.10 m(-2)), followed by parthenium aqueous extract (21.50 m(-2)), and lowest (6.79 m(-2)) in plots treated with Affinity (isoproturon + carfentrazone). Results showed that the highest crude protein content (10.88%) was recorded in deep tillage, while lowest (10.45%) in shallow tillage, indicating that tillage depths have an impact on wheat grains protein content. For weed control factor, the crude protein content was highest (11.98%) in Affinity treated plots, followed by herbicides, Buctril super (bromoxynil + MCPA) (11.44%) and Puma super (fenoxaprop-p-ethyl) (11.12%). Hence, the control measures also affected crude protein content of wheat grains, which is also obvious from the weedy check where wheat grains crude protein content was lowest (9.73%). The two years combined data analysis also showed the highest crude fat content (1.75%) in deep tillage treatments followed by normal tillage (1.67%) and lowest fat content (1.53%) in shallow tillage. For ash content, the highest content (3.03%) was with Affinity herbicide treatments, followed by Buctril super (2.74%) and Puma super (2.48%) herbicides. In conclusion, both the tillage and herbicides indicated positive effects on the nutritive status of wheat grains.","Marta"
52,NA,"not vetted","MICROWAVE SOIL TREATMENT IMPROVES WEED MANAGEMENT IN AUSTRALIAN DRYLAND WHEAT","Herbicide resistance has prompted the development of a chemical-free weed management practice in no-till farming systems. In this study, we examined the effect of pre-emergence microwave (MW) soil treatment for weed management in a no-till wheat production system in Australia. One-time MW soil treatment (2.45 GHz, 600 W, 120 s) was applied to plots that were arranged in a randomized complete block design with five replicates. The MW energy was projected through a horn antenna with aperture dimensions of 5.5 cm x 11 cm into the topsoil (0 to 6 cm) horizon. The applied MW energy density in the treated plots (2.6 m(2)), which was calculated by Simpson's numerical surface integral approximation, was approximately 560 J cm(-2). This achieved an increase in soil temperature of about 75 degrees C to 80 degrees C. This temperature induced a 65% to 80% reduction in weed establishment through thermal devitalization of the weed seedbank, compared to the untreated control plots. In addition, a substantial increase in wheat grain yield of 39.2% was achieved through MW energy application (7.8 t ha(-1)) compared to non-MW conditions (5.6 t ha(-1)). In summary, this non-chemical weed management strategy promises to effectively control herbicide-resistant weeds and sustain dryland wheat yields.","Marta"
53,NA,"not vetted","Effects of Acetochlor on Wheat Growth Characteristics and Soil Residue in Dryland","In this experiment, Jimai 22 was used as test material to investigate the impacts of acetochlor on the growth characteri*stics of dryland wheat and its residue in wheat grain and soil under field conditions. The results showed that acetochlor at a dosage of 750 g hm(-2) could effectively control weeds in wheat fields and benefit the growth of wheat in dryland. The plant height, ear length, number of tillers, aboveground and underground dry weight were heavier compared to the control after the application of acetochlor. From the jointing period to the filling period, the residual amount of acetochlor in the 0-20 cm and 20-40 cm soil layers was gradually reduced in the overall change, and the residual amount of acetochlor in the 0-20 cm soil layer in each growth period was more than the residual that of in the 20-40 cm soil layer. At the time of harvest, the residual amount of acetochlor in wheat grains was lower than the maximum allowable residue limit (MRL) value of acetochlor on wheat recommended by the United States. In addition, the residue of acetochlor in the soil of wheat field was also very small, all of which were lower than 0.02 mg kg(-1). It can be seen that the application of acetochlor is safe for wheat field soil and humans if the wheat is applied once after sowing, at the dosage is 750 g hm(-2).","Marta"
